question,ground_truth,recall_raw@1,recall_raw@5,recall_raw@10,recall_rerank@1,recall_rerank@5,recall_rerank@10,top_raw_files,top_rerank_files
ما هي مراحل دورة حياة نظام الذكاء الاصطناعي؟,تنقسم دورة حياة نظام الذكاء الاصطناعي إلى أربع مراحل رئيسية: التخطيط والتصميم، تهيئة البيانات، البناء وقياس الأداء، والتطبيق والمتابعة.,0,0,0,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'AIAdoptionFramework.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هي أنشطة مرحلة التخطيط والتصميم في دورة حياة نظام الذكاء الاصطناعي؟,تشمل: تحديد المشكلة، وضع الحلول المقترحة، اختيار تقنية الذكاء الاصطناعي المناسبة، دراسة المخاطر المرتبطة بالحلول، وتطوير مؤشرات الأداء المناسبة.,0,1,1,1,1,1,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هي أنشطة مرحلة تهيئة البيانات؟,تشمل: جمع البيانات، استكشاف وتقييم البيانات، تنظيف البيانات والتحقق من صحتها، تجويد البيانات، وتحويل البيانات إلى صيغة تناسب مدخلات نموذج الذكاء الاصطناعي.,0,0,1,0,0,0,"['RisksTransferringDataOutsideKingdomAr.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'ai-principles.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf', 'RisksTransferringDataOutsideKingdomAr.pdf']"
ما هو المبدأ الأول من مبادئ أخلاقيات الذكاء الاصطناعي؟,المبدأ الأول هو النزاهة والإنصاف، ويتطلب اتخاذ الإجراءات اللازمة للتأكد من عدم وجود التحيز أو التمييز أو التنميط أو الحد منها.,1,1,1,1,1,1,"['ai-principles.pdf', 'File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'File0001.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما الذي يجب مراعاته عند استخدام البيانات الشخصية في أنظمة الذكاء الاصطناعي؟,يجب أن يكون الغرض من استخدامها مبرراً ومحدداً بشكل دقيق، مع التأكد من عدم مخالفة نظام حماية البيانات الشخصية ولوائحه التنفيذية، وإخفاء هوية أصحاب البيانات أو ترميزها ما أمكن ذلك.,0,0,0,0,0,0,"['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'GenerativeAIPublicAR.pdf', 'GenerativeAIPublicAR.pdf']","['GenerativeAIPublicAR.pdf', 'ai-principles.pdf', 'GenerativeAIPublicAR.pdf', 'AIAdoptionFramework.pdf', 'GenerativeAIPublicAR.pdf']"
ما هو المبدأ الثاني من مبادئ أخلاقيات الذكاء الاصطناعي؟,المبدأ الثاني هو الخصوصية والأمن، ويتم تطوير أنظمة الذكاء الاصطناعي لتكون محمية بطريقة آمنة وتراعي المتطلبات النظامية المتعلقة بحماية خصوصية أصحاب البيانات الشخصية.,0,1,1,1,1,1,"['File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الثالث من مبادئ أخلاقيات الذكاء الاصطناعي؟,المبدأ الثالث هو الإنسانية، ويسلط الضوء على ضرورة بناء أنظمة الذكاء الاصطناعي باستخدام منهجية عادلة وأخلاقية تستند إلى حقوق الإنسان والقيم الثقافية الأساسية.,0,1,1,1,1,1,"['File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الرابع من مبادئ أخلاقيات الذكاء الاصطناعي؟,المبدأ الرابع هو المنافع الاجتماعية والبيئية، ويسعى إلى تعزيز الأثر الإيجابي للأولويات الاجتماعية والبيئية التي تفيد الأفراد والمجتمع.,0,1,1,1,1,1,"['File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'File0001.pdf', 'ai-principles.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو المبدأ الخامس من مبادئ أخلاقيات الذكاء الاصطناعي؟,المبدأ الخامس هو الموثوقية والسلامة، ويسعى إلى ضمان التزام نظام الذكاء الاصطناعي بالمواصفات المحددة وأن يعمل بشكل كامل وفق الآلية التي توقعها مصمموه.,0,1,1,0,0,0,"['File0001.pdf', 'File0001.pdf', 'ai-principles.pdf', 'File0001.pdf', 'File0001.pdf']","['ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf', 'ai-principles.pdf']"
ما هو تعريف المعالجة في نظام حماية البيانات الشخصية؟,المعالجة هي أي عملية تجرى على البيانات الشخصية بأي وسيلة كانت يدوية أو آلية، ومن ذلك: الجمع، والتسجيل، والحفظ، والفهرسة، والترتيب، والتنسيق، والتخزين، والتعديل، والدمج، والاسترجاع.,0,0,0,0,0,0,"['TheRulesGoverningTheNationalRegisterOfControllersWithinTheKingdomPublic.pdf', 'ai-principles.pdf', 'RulesforAppointingPersonalDataProtectionOfficer.pdf', 'MinmumPDGuidelineArabic.pdf', 'TheRulesGoverningTheNationalRegisterOfControllersWithinTheKingdomPublic.pdf']","['StandardContractualClausesForPersonalDataTransferAR.pdf', 'RulesforAppointingPersonalDataProtectionOfficer.pdf', 'ImplementingRegulationPersonalDataProtectionLawAr.pdf', 'ExecutiveRegulations.pdf', 'CCC-2-2024-.pdf']"
